temperature,temp_mean,temp_max,temp_min,temp_std,temp_rise_rate,temp_peak_gradient,temp_trend,v_load,v_load_mean,v_load_max,v_load_min,v_load_std,max_dv_dt,v_load_overshoot,I_load,i_load_mean,i-load_rms,i_load_peak,i_load_std,max_di_dt,p_instantaneous,p_mean,p_peak,p_std,timestamp,Duty Cycle,Switching_frequency,DC_Supply_voltage,DC-Supply_current,Vce,Ic,FaultType,HealthState
31.084347865338398,30.428370241265373,31.42323925167636,29.390404498110097,0.3547545682565508,-0.0304936333343521,3059.301965799228,-0.0002687524852699,-15.22,-11.17978,8.04,-29.24,5.513517257758426,6015.000000000001,19.21978,0.17,0.4739399999999999,9.818176867422997,119.97,9.806731253399372,6100.0,2.5874,32.7417822,1548.8127,120.30529700479752,1775141277.8422518,0.6,25,15,3.1,5.12,0.145,bond wire fatigue,warning
31.25378927642452,30.687838714159646,31.660483607299938,29.72912473087905,0.3479951486985678,0.0643813658639628,3079.6322296777607,0.0003536692424748,-14.2,-11.38226,7.77,-25.8,4.756323568934309,7037.5,19.15226,-6.06,0.31758,11.632416558909846,119.97,11.628080578650977,6355.0,86.05199999999999,32.7071942,2580.774,160.6368212878056,1775141316.461452,0.6,25,15,3.1,5.12,0.145,bond wire fatigue,warning
30.643840267494088,30.61506376903801,31.82995414184859,29.390404498110097,0.4004019790634183,-0.1626329357786799,3074.549073047038,-0.0013383045266118,-27.79,-21.23112,10.19,-43.05,8.54061599333444,8045.0,31.42112,-0.47,-0.13316,12.39104066654613,119.97,12.390325145628744,6908.5,13.0613,64.6321234,3475.5309,284.5905913585929,1775141355.0848286,0.6,25,15,3.1,5.12,0.145,bond wire fatigue,warning
30.609957464608904,30.00664998399824,31.21990030911573,29.11945293610881,0.3676162882092711,4.381910001029609e-06,3023.733767800811,-0.00063629658362,-28.33,-25.681519999999995,-3.99,-43.53,6.1896519199063205,7010.0,21.69152,0.44,0.8726600000000001,15.784932226652096,119.97,15.7607915386379,7419.000000000001,12.4652,84.7143764,3263.184,309.40430408681334,1775141393.6738102,0.6,25,15,3.1,5.12,0.145,bond wire fatigue,warning
30.474429676656467,30.44497197592624,31.32156823875236,29.390404498110097,0.3557274816406301,0.1456863311115666,3094.8800901796576,0.0006781485519588,-19.52,-24.7528,-9.26,-37.84,5.9629518998563125,11309.999999999998,15.4928,-0.96,-0.92636,10.607676559925835,100.03,10.56715000132013,5574.000000000001,18.7392,65.983502,3699.1094,293.8826950730666,1775141432.2591066,0.6,25,15,3.1,5.12,0.145,bond wire fatigue,warning
31.287678586300267,30.828935791296917,31.863849276946794,29.83074747118165,0.3806952618047808,0.1253778414746484,3094.880090179659,0.0001370454859221,-30.16,-22.03176,-3.19,-39.77,6.40043171218942,6727.500000000001,18.84176,-1.33,0.7954200000000001,12.122741265901867,119.97,12.096617825805687,6661.5,40.1128,61.693068,2857.6854,248.27525751093657,1775141470.889053,0.6,25,15,3.1,5.12,0.145,bond wire fatigue,warning
30.881029474905887,30.90083917113016,32.10112482031967,29.390404498110097,0.3715017762539845,0.2337955873165865,3118.6020076736468,7.270530746961481e-05,-24.19,-24.18368,-2.86,-43.8,5.78745125747077,8032.499999999999,21.32368,-1.33,-0.1633600000000001,11.26494120712576,119.97,11.263756651774752,6218.5,32.172700000000006,71.8374798,4381.313999999999,339.5439371769591,1775141509.4547412,0.6,25,15,3.1,5.12,0.145,bond wire fatigue,warning
26.00508144,25.90237316,26.81724763,24.99014987,0.335296788,0.243601912,2592.04993,0.000917182,-33.43,-28.52318,-18.5,-39.72,3.124490693,3277.5,10.02318,-0.15,-0.2548,3.764069447,50.35,3.755435495,2603.0,5.0145,38.494161,1445.045,102.9419711,1775140148.0,0.6,10,20,4.4,8.7,8.05,Gate_oxide_degradation,warning
26.91878222,26.25840397,27.12186061,25.2607683,0.322000824,0.250423808,2668.187295,0.000210836,-34.61,-29.88964,-16.62,-40.52,3.049726196,3760.0,13.26964,-0.64,0.05574,6.17114218,119.97,6.170890442,6011.5,22.1504,47.0704586,1993.9014,114.275181,1775140187.0,0.6,10,20,4.4,8.7,8.05,Gate_oxide_degradation,warning
26.58034553,26.38428599,27.49420291,25.53140854,0.318089612,-0.020305383,2712.186061,5.96e-05,-29.08,-28.37648,-14.95,-48.53,3.462162389,5950.0,13.42648,-1.17,-0.6909,9.683006816,119.97,9.658326884,6272.0,34.0236,67.1672176,4854.4559,375.7062713,1775140225.0,0.6,10,20,4.4,8.7,8.05,Gate_oxide_degradation,warning
26.91878222,26.5682433,27.32495129,25.63290425,0.297411117,0.179361501,2661.418766,0.000249303,-29.83,-28.0478,-15.33,-47.13,3.469789383,5492.5,12.7178,-1.01,-0.75502,11.5559988,119.97,11.53130751,6046.0,30.1283,72.8825614,4677.4028,341.826085,1775140264.0,0.6,10,20,4.4,8.7,8.05,Gate_oxide_degradation,warning
27.02031988,27.0660307,28.00200899,26.00508144,0.346423387,0.307984373,2742.650124,0.001085046,-33.32,-28.64246,-19.57,-49.12,3.245033459,6432.5,9.07246,-1.23,-0.39768,3.686685341,55.38,3.665173859,2799.0,40.9836,39.7481236,1619.3112,99.26400464,1775140302.0,0.6,10,20,4.4,8.7,8.05,Gate_oxide_degradation,warning
27.02031988,27.4428311,28.57761545,26.54650374,0.305320097,-0.220027654,2766.346307,5.7e-05,-29.4,-28.11956,-14.58,-42.73,3.14274953,4190.0,13.53956,-1.28,-0.9277,9.930904037,100.03,9.887478329,5668.0,37.632,66.6245988,3376.5246,289.5661144,1775140341.0,0.6,10,20,4.4,8.7,8.05,Gate_oxide_degradation,warning
27.93429707,27.70030988,28.84852326,26.88493701,0.313820109,0.311439883,2813.743692,0.000377191,-26.56,-28.48262,-12.96,-41.33,2.942291103,4527.5,15.52262,-0.31,-0.40362,4.358164912,58.41,4.339434559,2990.0,8.2336,43.6670352,1689.2172,119.1697934,1775140379.0,0.6,10,20,4.4,8.7,8.05,Gate_oxide_degradation,warning
